更新时间,#genre#
20250925 19:49


央视频道,#genre#
CCTV-1,http://221.13.235.230:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://101.66.199.115:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://223.167.230.34:4022/rtp/239.45.3.145:5140
CCTV-1,http://111.192.211.132:8888/rtp/239.3.1.129:8008
CCTV-1,http://116.234.48.9:4022/rtp/239.45.3.145:5140
CCTV-1,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV-1,http://www.terrykang.xyz:35455/gaoma/cctv1.m3u8
CCTV-1,http://www.clmy.cc:35455/gaoma/cctv1.m3u8
CCTV-1,http://wab201.win:35455/gaoma/cctv1.m3u8
CCTV-1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-1,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV-2,http://221.13.235.230:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://111.192.211.132:8888/rtp/239.3.1.60:8084
CCTV-2,http://180.165.2.27:9898/rtp/239.45.3.208:5140
CCTV-2,http://61.136.81.39:5957/rtp/225.1.4.74:1103
CCTV-2,http://223.167.230.34:4022/rtp/239.45.3.208:5140
CCTV-2,http://180.165.22.198:4022/rtp/239.45.3.208:5140
CCTV-2,http://www.terrykang.xyz:35455/gaoma/cctv2.m3u8
CCTV-2,http://www.clmy.cc:35455/gaoma/cctv2.m3u8
CCTV-2,http://wab201.win:35455/gaoma/cctv2.m3u8
CCTV-2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV-2,http://goo.bkpcp.top/mg/CCTV2
CCTV-2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV-2,https://smart.pendy.dpdns.org/Smart.php?id=cctv2
CCTV-3,http://221.13.235.230:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://116.234.48.9:4022/rtp/239.45.1.68:5140
CCTV-3,http://223.167.230.34:4022/rtp/239.45.1.68:5140
CCTV-3,http://111.192.211.132:8888/rtp/239.3.1.172:8001
CCTV-3,http://101.66.199.115:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3,http://180.165.1.151:4022/rtp/239.45.1.68:5140
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3,http://www.terrykang.xyz:35455/gaoma/cctv3.m3u8
CCTV-3,http://www.clmy.cc:35455/gaoma/cctv3.m3u8
CCTV-3,http://wab201.win:35455/gaoma/cctv3.m3u8
CCTV-3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV-3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV-3,https://smart.pendy.dpdns.org/Smart.php?id=cctv3
CCTV-4,http://221.13.235.230:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://223.167.230.34:4022/rtp/239.45.0.2:5140
CCTV-4,http://111.192.211.132:8888/rtp/239.3.1.105:8092
CCTV-4,http://116.234.48.9:4022/rtp/239.45.0.2:5140
CCTV-4,http://61.136.81.39:5957/rtp/225.1.5.30:1333
CCTV-4,http://180.165.1.151:4022/rtp/239.45.0.2:5140
CCTV-4,http://www.terrykang.xyz:35455/gaoma/cctv4.m3u8
CCTV-4,http://www.clmy.cc:35455/gaoma/cctv4.m3u8
CCTV-4,http://wab201.win:35455/gaoma/cctv4.m3u8
CCTV-4,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428
CCTV-4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV-4,https://smart.pendy.dpdns.org/Smart.php?id=cctv4
CCTV-4,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV-5,http://221.13.235.230:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://223.167.230.34:4022/rtp/239.45.1.69:5140
CCTV-5,http://116.234.48.9:4022/rtp/239.45.1.69:5140
CCTV-5,http://101.66.199.115:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5,http://180.165.1.151:4022/rtp/239.45.1.69:5140
CCTV-5,http://58.19.180.108:9981/stream/channelid/908622330
CCTV-5,http://www.terrykang.xyz:35455/gaoma/cctv5.m3u8
CCTV-5,http://www.clmy.cc:35455/gaoma/cctv5.m3u8
CCTV-5,http://wab201.win:35455/gaoma/cctv5.m3u8
CCTV-5,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019
CCTV-5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV-5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV-5,https://ldcctvwbcdks.v.kcdnvip.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV-5+,http://61.136.81.39:5957/rtp/225.1.4.75:1104
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-5+,http://www.terrykang.xyz:35455/gaoma/cctv5+.m3u8
CCTV-5+,http://www.clmy.cc:35455/gaoma/cctv5+.m3u8
CCTV-5+,http://wab201.win:35455/gaoma/cctv5+.m3u8
CCTV-5+,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225603
CCTV-5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus
CCTV-5+,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225603/index.m3u8
CCTV-6,http://221.13.235.230:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
